pathway	pval	padj	log2err	ES	NES	size	leadingEdge	enriched_in	abs_NES
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0439093484419263	0.105708245243129	0.257206466468838	0.637013142790061	1.34109313699593	86	IL1R1;TGFB1;IL6ST;TNFRSF1A;IL6;PDGFC;OSMR;A2M;FAS;CSF1;MAP3K8;ACVRL1;CD14;SOCS3;CD36;HMOX1;PIM1;IFNGR2;JUN;ITGA4;STAT2;TNFRSF12A;ITGB3;PTPN2;LEPR;IL10RB;IL13RA1;EBI3;IL1B;IL18R1;CSF2RB;CCL7;INHBE;IFNAR1;IL3RA	Selected Diffuse/EMT clusters	1.34109313699593
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0465116279069768	0.105708245243129	0.245041785430996	0.602532336914385	1.2953674949116	109	CCL2;SEC11A;DDIT4;STC2;HSP90B1;SEC31A;KDELR3;PDIA6;VEGFA;HSPA5;SHC1;WIPI1;FKBP14;DNAJB9;NPM1;IFIT1;EIF4EBP1;PDIA5;SSR1;RPS14;CALR;TSPYL2;EIF4A2;YIF1A	Selected Diffuse/EMT clusters	1.2953674949116
HALLMARK_HEDGEHOG_SIGNALING	0.0992	0.215652173913043	0.178219874951973	0.704877301689638	1.32350814416661	35	THY1;DPYSL2;SCG2;NRP2;VEGFA;NRP1;CRMP1;VLDLR;UNC5C;PML;HEY2	Selected Diffuse/EMT clusters	1.32350814416661
HALLMARK_MTORC1_SIGNALING	0.104761904761905	0.216666666666667	0.147331213699377	0.527857678036238	1.2147786947598	196	PLOD2;NUPR1;BCAT1;SLC2A3;SERPINH1;P4HA1;IGFBP5;LDHA;SEC11A;PGK1;DDIT4;AK4;STC1;TPI1;MLLT11;ELOVL5;HSP90B1;GAPDH;EGLN3;PGM1;PHGDH;ALDOA;GBE1;HSPA5;ENO1;FADS2;UBE2D3;CCNG1;CANX;GLRX;SSR1;SHMT2;FADS1;CALR;VLDLR;PSMB5;TCEA1;USO1	Selected Diffuse/EMT clusters	1.2147786947598
HALLMARK_IL2_STAT5_SIGNALING	0.108333333333333	0.216666666666667	0.144630528034484	0.526626829091075	1.21344819763877	198	COL6A1;SLC2A3;P4HA1;PLIN2;IFITM3;ECM1;PRNP;ITIH5;PRAF2;CKAP4;RNH1;PLPP1;GABARAPL1;GLIPR2;GSTO1;RORA;BMPR2;ITGAV;PHLDA1;SPP1;GADD45B;DENND5A;GUCY1B1;CSF1;MAP3K8;ADAM19;TNFRSF9;NRP1;APLP1;CDKN1C;SYT11;FAH;ST3GAL4;TWSG1;NT5E;FLT3LG;IL1RL1;PIM1;NDRG1;F2RL2;EEF1AKMT1;LRRC8C;PHTF2;TGM2;TNFRSF8;SLC1A5	Selected Diffuse/EMT clusters	1.21344819763877
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.124199404247657	0.238845008168572	0.287805130535564	-0.416381475738392	-1.10619658338603	195	KRT18;KRT8;TFF1;LAD1;SFN;CLDN7;ELF3;TFF3;ABLIM1;AREG;TJP3;SLC37A1;KRT19;ITPK1;MLPH;MUC1;AKAP1;ABHD2;TOB1;BLVRB;CCND1;SCNN1A;ESRP2;KLF4;RAB17;FASN;BAG1;SYBU;TMEM164;SULT2B1;TTC39A;TMPRSS3;HR;WWC1;OVOL2;AQP3;FKBP4;FRK;RAPGEFL1;FLNB;RRP12;TIPARP;SLC27A2;SLC7A5;CHPT1;RETREG1;ISG20L2;IL17RB;DEPTOR;KCNK5;MYB;SCARB1;FDFT1;SLC22A5;CANT1;SIAH2;MREG	Selected Intestinal clusters	1.10619658338603
HALLMARK_SPERMATOGENESIS	0.142857142857143	0.264550264550265	0.231126709673834	-0.462043585582096	-1.15427237243401	111	MAP7;SLC12A2;CDKN3;TNNI3;STRBP;CCNB2;AURKA;EZH2;CDK1;ARL4A;NEK2;DBF4;YBX2;NCAPH;KIF2C;MAST2;CLPB;CFTR;BUB1;TTK;GAD1;IDE;TOPBP1;MTOR;PRKAR2A;ACRBP;ACE;LPIN1	Selected Intestinal clusters	1.15427237243401
HALLMARK_MITOTIC_SPINDLE	0.153374233128834	0.273882559158633	0.287857117255149	-0.411189677865685	-1.09631951986511	197	EZR;ACTN4;NET1;ARHGAP27;RHOF;CD2AP;TUBA4A;MYO1E;CENPF;ECT2;TPX2;NUSAP1;LRPPRC;BIRC5;TOP2A;MAP3K11;CCNB2;AURKA;CDK1;NEDD9;FGD4;PLK1;CDC42EP4;ARF6;SSH2;EPB41;FLNB;NEK2;PRC1;ANLN;KIF20B;CENPE;DLGAP5;KIF2C;RACGAP1;RHOT2;KIF23;INCENP;ATG4B;MAP1S;PCGF5;BUB1;KIF4A;TTK;KIF15;KIF11;RALBP1;MID1;ABR;SPTBN1;SPTAN1;PCNT;SMC1A;ARFGEF1;SAC3D1;SMC4;KIF5B;TUBGCP6;BCL2L11;AKAP13;DLG1;TUBGCP3;ESPL1;KPTN;KIF3B;CKAP5;BCAR1;ARHGEF11;BCR;OPHN1	Selected Intestinal clusters	1.09631951986511
HALLMARK_PROTEIN_SECRETION	0.182825484764543	0.304709141274238	0.117249716749792	0.556547265414243	1.18509552246016	95	BNIP3;CD63;LMAN1;SSPN;CAV2;SEC31A;TMED2;PAM;ABCA1;AP2M1;LAMP2;AP2S1;AP3S1;SCAMP1;VAMP3;SEC22B;RAB2A;SNX2;COPB1;SEC24D;SNAP23;USO1;PPT1	Selected Diffuse/EMT clusters	1.18509552246016
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.178571428571429	0.304709141274238	0.108820126769161	0.500907575752297	1.15418615498435	198	SERPINE1;CCL2;SLC2A3;IL6ST;TNFAIP6;MARCKS;MSC;ICAM1;GFPT2;PTX3;IL6;ACKR3;PNRC1;SOD2;ABCA1;TNC;EIF1;SERPINB2;DNAJB4;DRAM1;DUSP1;VEGFA;NINJ1;PLAU;SPHK1;INHBA;RCAN1;PHLDA1;GADD45B;DENND5A;CSF1;MAP3K8;TNFRSF9;G0S2;SGK1;SOCS3;ID2;PLAUR;PLPP3;KLF9;BTG3;CEBPD;ZBTB10;IFNGR2;FJX1;JUN;CDKN1A;IFIT2;PTGS2;F3;TANK;PDE4B;CXCL6;NAMPT;PANX1	Selected Diffuse/EMT clusters	1.15418615498435
HALLMARK_KRAS_SIGNALING_UP	0.19047619047619	0.307219662058372	0.104732821580651	0.499391404615047	1.14926819086807	196	GYPC;CFH;CPE;IGFBP3;CFB;PLAT;GNG11;ANGPTL4;SPARCL1;GFPT2;ENG;GPNMB;TMEM176B;PCSK1N;ALDH1A3;DCBLD2;TMEM176A;TFPI;HSD11B1;SCG5;LY96;AKAP12;MMP11;PLAU;INHBA;SPP1;TMEM158;MMD;PRRX1;ADGRA2;NRP1;ETS1;TMEM100;G0S2;IL33;ITGBL1;GLRX;GUCY1A1;ID2;PLAUR;PDCD1LG2	Selected Diffuse/EMT clusters	1.14926819086807
HALLMARK_ADIPOGENESIS	0.284185493460166	0.44403983353151	0.0815265143256594	0.47182031486236	1.08605471535097	195	CAVIN1;C3;RAB34;LAMA4;PLIN2;ANGPTL4;SPARCL1;HSPB8;APOE;ITIH5;SSPN;CD151;CAVIN2;PGM1;ABCA1;COL4A1;ALDOA;GBE1;SNCG;PTGER3;STOM;RTN3;MYLK;DHRS7;COL15A1;DNAJB9;PHLDB1;REEP5;UBC;GPX3;SULT1A1;ENPP2;ANGPT1;RNF11;LTC4S;FAH	Selected Diffuse/EMT clusters	1.08605471535097
HALLMARK_XENOBIOTIC_METABOLISM	0.314457831325301	0.475635798874005	0.0768736734126542	0.468687877813411	1.07494678064475	190	SERPINE1;IGFBP4;FBLN1;BCAT1;IL1R1;CFB;PTGDS;MT2A;APOE;TNFRSF1A;PROS1;ELOVL5;IGF1;VTN;TMEM176B;ADH5;GABARAPL1;HSD11B1;COMT;FAS;GSTO1;MAN1A1;NINJ1;EPHX1;SSR3;DHRS7;TPST1;PAPSS2;TDO2;PGRMC1;DDAH2;PTGES;PMM1;ID2;PTGR1;CYP27A1;SHMT2;FAH;SLC12A4;CD36;HMOX1;F10;ENPEP;TGFB2	Selected Diffuse/EMT clusters	1.07494678064475
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.323432343234323	0.475635798874005	0.13880510939114	-0.457029200850844	-1.06496745142301	73	LGALS3;MAL2;CXCL16;LDLR;ETHE1;FABP5;PPARG;PCYT2;ACSS2;ANXA13;FASN;EBP;MVD;TMEM97;CHKA;ATF3;HMGCS1;SREBF2;FDPS;CD9;PMVK;FBXO6;HMGCR;FDFT1;IDI1;CYP51A1	Selected Intestinal clusters	1.06496745142301
HALLMARK_PANCREAS_BETA_CELLS	0.350157728706625	0.486361813076614	0.0855356947987884	0.577099140704118	1.08746225248777	38	SEC11A;SRP14;AKT3	Selected Diffuse/EMT clusters	1.08746225248777
HALLMARK_HEME_METABOLISM	0.350180505415162	0.486361813076614	0.0713052987340038	0.458474069789309	1.0524178637522	191	GYPC;C3;BNIP3L;CTSB;P4HA2;NR3C1;HEBP1;BLVRA;ARL2BP;TNS1;TSPAN5;LAMP2;UROD;BCAM;OPTN;MINPP1;SDCBP;MPP1;YPEL5;PGLS;CIR1;TCEA1;MGST3;CLIC2;MXI1;ADD2;FBXO7;EPOR;ACKR1;BACH1;SLC10A3	Selected Diffuse/EMT clusters	1.0524178637522
HALLMARK_P53_PATHWAY	0.388888888888889	0.525525525525526	0.176694268938498	-0.387288788342197	-1.03060126315012	196	ST14;SFN;PERP;GPX2;ITGB4;SDC1;SERPINB5;TRAF4;EPHA2;EPS8L2;MXD1;TOB1;KIF13B;BTG2;VAMP8;CEBPA;KLF4;DCXR;HBEGF;RETSAT;IRAK1;RPL36;S100A10;TGFA;DEF6;ATF3;RPL18;PDGFA;COQ8A;CTSD;PPP1R15A;RAB40C;KRT17;TNFSF9;FUCA1;MKNK2;RAD9A;IER3;MAPKAPK3;RNF19B;NUDT15;RAP2B;CDKN2B;BAK1;BMP2	Selected Intestinal clusters	1.03060126315012
HALLMARK_NOTCH_SIGNALING	0.485436893203884	0.638732754215636	0.0697792517076235	0.53596629432496	0.989784352579979	32	SKP1;WNT5A;NOTCH3;MAML2;NOTCH2;FZD7;FZD1;ST3GAL6;HEYL;WNT2;DLL1	Selected Diffuse/EMT clusters	0.989784352579979
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.531297709923664	0.667910447761194	0.0625237414724762	0.501876220900631	0.958958833885844	42	GNAI1;HDAC2;RBPJ;FZD1;DLL1;NCSTN;HEY2;MYC;LEF1;NOTCH4;HEY1;CSNK1E	Selected Diffuse/EMT clusters	0.958958833885844
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.534328358208955	0.667910447761194	0.0611692626746689	0.488777890305317	0.952286083015244	49	PRNP;PRDX4;PRDX6;SOD2;FTL;ATOX1;PDLIM1;GPX3;GLRX;PTPA;LSP1	Selected Diffuse/EMT clusters	0.952286083015244
HALLMARK_PEROXISOME	0.581560283687943	0.679504973398103	0.103197466945307	-0.383244245122766	-0.952541985772395	103	ACSL5;DHCR24;HSD11B2;PABPC1;FABP6;GSTK1;RETSAT;TOP2A;SULT2B1;EPHX2;FDPS;ALDH1A1;ACOX1;SLC27A2;ACAA1;ACOT8;NR1I2;IDI1;ABCD3;BCL10;CLN6;IDE;IDH1;SLC25A19;HRAS	Selected Intestinal clusters	0.952541985772395
HALLMARK_KRAS_SIGNALING_DN	0.596083231334149	0.679504973398103	0.0468819856878333	0.414303487929036	0.945822199591657	181	IGFBP2;GAMT;SYNPO;SERPINB2;COPZ2;CCDC106;SLC16A7;SELENOP;THNSL2;SGK1;CAMK1D;TGM1;EFHD1;NUDT11;TENM2;NTF3;IFI44L;TGFB2;PTGFR;MX1;PDE6B;TCF7L1;CHST2;TG;ZBTB16;KCNMB1	Selected Diffuse/EMT clusters	0.945822199591657
HALLMARK_UV_RESPONSE_UP	0.597964376590331	0.679504973398103	0.048505983646947	0.420454058294651	0.9414225388521	156	PDLIM3;IGFBP2;IL6ST;ENO2;GRINA;ICAM1;IL6;MMP14;SOD2;ALDOA;UROD;EPHX1;AP2S1;EIF2S3;MGAT1;GPX3;SULT1A1;HSPA13;OLFM1;CDKN1C;NPTX2;CYB5R1;BTG3;DLG4;HMOX1;HSPA2;RRAD;KLHDC3;PPT1;CNP	Selected Diffuse/EMT clusters	0.9414225388521
HALLMARK_APICAL_SURFACE	0.561538461538462	0.679504973398103	0.0602484086158019	0.490617175149827	0.935149734051758	43	THY1;SRPX;DCBLD2;GAS1;HSPB1;PLAUR	Selected Diffuse/EMT clusters	0.935149734051758
HALLMARK_ANDROGEN_RESPONSE	0.675	0.75	0.0469758727821845	0.422916432010971	0.899918360932595	99	LMAN1;B2M;ACTN1;ADAMTS1;ARID5B;ELOVL5;ALDH1A3;MAF;PLPP1;MYL12A;AKAP12;TMEM50A;VAPA;ITGAV;DNAJB9;HSD17B14;SELENOP;SGK1;GUCY1A1;SLC38A2;PGM3;FADS1;SEC24D;ZBTB10;UAP1;GNAI3;NDRG1	Selected Diffuse/EMT clusters	0.899918360932595
HALLMARK_DNA_REPAIR	0.716645489199492	0.778962488260317	0.0401660980049421	0.396654259362273	0.885414227370441	149	NME4;DAD1;TMED2;DUT;ERCC1;EIF1B;SUPT4H1;GSDME;BCAM;USP11;SDCBP;MPG;NME3;CETN2;GTF2H5;RNMT;PDE4B;POLR2G;RPA2;DDB2	Selected Diffuse/EMT clusters	0.885414227370441
HALLMARK_BILE_ACID_METABOLISM	0.841328413284133	0.875006491146077	0.0840745577910723	-0.347227017167368	-0.862963632842552	109	ACSL5;DHCR24;GSTK1;SLC27A5;RETSAT;SULT2B1;EPHX2;TFCP2L1;ALDH1A1;SULT1B1;PXMP2;SLC27A2;NR1I2;PEX16;IDI1;ABCD3;PEX7;NPC1;NR3C2;NR0B2;IDH1	Selected Intestinal clusters	0.862963632842552
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.843416370106761	0.875006491146077	0.0819778796501272	-0.34177396865104	-0.849817589570444	104	SFN;RPS6KA1;SQSTM1;NFKBIB;MAP2K3;GRK2;CDK1;YWHAB;MKNK2;IL2RG;CFL1;ACACA;E2F1;PAK4;ECSIT;VAV3;CAB39;PIK3R3;RAC1;AKT1;TSC2;HRAS;GNGT1;PRKAR2A;PPP1CA	Selected Intestinal clusters	0.849817589570444
HALLMARK_FATTY_ACID_METABOLISM	0.857506361323155	0.875006491146077	0.0317812506835949	0.366749444350789	0.820730367552659	153	LGALS1;OSTC;LDHA;ENO2;ELOVL5;UBE2L6;PRDX6;SERINC1;BLVRA;MIF;GABARAPL1;ALDOA;UROD;EPHX1;APEX1;TDO2;ECI2;G0S2;LTC4S	Selected Diffuse/EMT clusters	0.820730367552659
HALLMARK_MYC_TARGETS_V1	0.938168846611177	0.938168846611177	0.0236501012290726	0.339272471793178	0.780950832706831	195	NAP1L1;LDHA;PGK1;PRDX4;RPL34;RACK1;YWHAQ;DUT;CDK4;RPL6;PSMA1;AP3S1;NPM1;APEX1;CANX;PWP1;HDAC2;HDDC2;SSB;YWHAE;UBE2E1	Selected Diffuse/EMT clusters	0.780950832706831
